CT検査、どれくらい時間かかる？,検査自体は数分で終わることが多いんです。,検査前に知っておきたいこと、コメントで教えて！
MRIとCT、どちらが得意な病気がある？,MRIは脳や関節、CTは肺やお腹の病気が得意です。,もっと知りたい方はフォローを忘れずに！
バリウム検査後、なぜ下剤を飲むの？,バリウムが体内に残るとよくないため、早く出す必要があるんです。,検査後の注意点もチェックしましょう！
X線技師がまず見るポイントは？,画像の明るさや形の異常を最初に確認しています。,医療の裏側が気になる方はフォロー！
MRIで閉所がこわい人はどうする？,最近はオープン型MRIもあり、圧迫感が少ないです。,不安な経験があればコメントで教えて！
CT検査で見つかる意外な病気,健康診断でがん以外の異常も見つかることがあります。,体験談や質問はコメントでどうぞ！
バリウム検査のコツを知っていますか？,喉ごしをよくするために、少しずつ飲むのがおすすめです。,他にも知りたいことがあればフォロー！
子どもがX線検査を受ける時は？,子ども向けに放射線量を最小限に調整しています。,お子さんの健康に関する疑問はコメントで！
MRIでタトゥーは大丈夫？,タトゥーのインクに金属が含まれている場合、注意が必要です。,タトゥー経験者は体験談コメントください！
CTの3D画像、どうやって作る？,複数の断面画像をコンピューターで合成し3D化します。,医療技術の進化に驚いたらいいね！
バリウム検査、苦手な人の対処法,検査前にスタッフに相談することで工夫してもらえます。,不安を感じる人はぜひフォロー！
X線で身体に悪い影響は？,一度の検査で健康に影響はほぼありません。,放射線への不安はコメントでどうぞ！
MRIで脳だけでなく体も診断できる？,筋肉や関節など、全身の状態も詳しく調べられます。,体のどこを調べてみたい？コメントしてください！
CTで心臓も見れるって知ってた？,心臓の血管や動きもCTで詳しく調べられるんです。,気になる部位があればコメントください！
バリウム検査で気をつける食事,前日は消化の良いものを食べると検査がスムーズです。,他にも検査のコツ知りたければフォロー！
X線写真で骨折以外もわかる？,肺炎や腸閉塞など骨以外の病気も発見できます。,身近な医療の豆知識が知りたい人はフォロー！
MRIの検査時間、実は短い？,部位によりますが、15〜30分で終わることが多いです。,受けたことがある人は体験談をコメントで！
CT検査で水分制限がある理由,造影剤の影響や画像の鮮明さのために水分制限があります。,検査について質問があればコメント！
